Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Id,Venue,Venue Latitude,Venue Longitude,Venue Category Name
Wychwood (94),43.6769192679,-79.425514947,4ce588455fce5481cd1e5caa,Cho Cho Cho,43.680139022918006,-79.43289460634793,Chinese Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b50ff62f964a520b43c27e3,Dragon Delight,43.68076539930795,-79.43107936159058,Chinese Restaurant
Yonge-Eglinton (100),43.704689367700006,-79.4035901675,4c191701834e2d7f24db2980,Chinese Food Gallery,43.70334736873612,-79.41464635957847,Chinese Restaurant
Yonge-St.Clair (97),43.687858872,-79.3978707687,52c88ab711d22e372f645af6,Kwan Restaurant,43.688737166789785,-79.39435863931413,Cantonese Restaurant
Yonge-St.Clair (97),43.687858872,-79.3978707687,4b69b043f964a520afad2be3,Best Z,43.688604,-79.393597,Chinese Restaurant
York University Heights (27),43.765736490900004,-79.4888829298,530f862811d2c7e1d915330c,Tin Tin Congee - 天天粥麵,43.77390669185088,-79.49259185905532,Chinese Restaurant
York University Heights (27),43.765736490900004,-79.4888829298,4c2bdd9ad1a10f471aabf864,Mandarin Buffet,43.767300457143605,-79.46959723111308,Chinese Restaurant
York University Heights (27),43.765736490900004,-79.4888829298,4bb0db61f964a520b7633ce3,Noodles on Finch,43.767906576207636,-79.47197523452058,Chinese Restaurant
York University Heights (27),43.765736490900004,-79.4888829298,4d7e6e1d564b8cfac3caf164,East Moon,43.78271791872826,-79.49079601723254,Chinese Restaurant
York University Heights (27),43.765736490900004,-79.4888829298,4e06233c62e100e581678192,Tri Star Restaurant,43.76933638194449,-79.52024995897516,Chinese Restaurant
Yorkdale-Glen Park (31),43.714671529300006,-79.4571080738,4e11fd03b61c637b97b2386e,Hakka No. 1,43.70779096413223,-79.47735333337515,Chinese Restaurant
Yorkdale-Glen Park (31),43.714671529300006,-79.4571080738,4c2631d5f1272d7fed1086c5,Manchu Wok,43.725421,-79.452106,Chinese Restaurant
Lansing-Westgate (38),43.754271154899996,-79.4247477215,4bec2d59415e20a14830e7bb,Lee Town Restaurant,43.76419503107473,-79.4116255620473,Chinese Restaurant
Lansing-Westgate (38),43.754271154899996,-79.4247477215,4d6ee5fa38a588bfbed306e1,China Court,43.75578017077131,-79.43743743256304,Chinese Restaurant
Lansing-Westgate (38),43.754271154899996,-79.4247477215,514ddd02e4b022f34167e511,Manchu Wok,43.768464,-79.414017,Chinese Restaurant
Lawrence Park South (103),43.71721170479999,-79.40603941020001,4aec79e5f964a5209fc721e3,C'est Bon,43.71678474928588,-79.40040634837081,Chinese Restaurant
Little Portugal (84),43.6475359304,-79.4303227131,4aea348cf964a5202eba21e3,Saigon Flower,43.64311422896345,-79.42421470624055,Chinese Restaurant
Long Branch (19),43.592361688500006,-79.5333454492,4c79ba4381bca0930994fe14,Mai-Mai Restaurant & Tavern,43.59707452795699,-79.52315969505716,Chinese Restaurant
Malvern (132),43.8036581967,-79.22251661899999,4bf025afc8d920a1bd799430,Fairview Seafood Chinese Cuisine,43.7929068448252,-79.23934784822218,Chinese Restaurant
Malvern (132),43.8036581967,-79.22251661899999,4db8a2096e818f67a9add9ab,Lucky Lin's Restaurant,43.813612899653876,-79.23794309546079,Chinese Restaurant
Malvern (132),43.8036581967,-79.22251661899999,4c706524df6b8cfab244b84d,Charley's Exotic Cuisine,43.80098159718747,-79.20023292303085,Chinese Restaurant
Maple Leaf (29),43.7155739408,-79.48075801739999,4e11fd03b61c637b97b2386e,Hakka No. 1,43.70779096413223,-79.47735333337515,Chinese Restaurant
Maple Leaf (29),43.7155739408,-79.48075801739999,4c7ef047171b224b9d800fb1,Lucky Dragon Chinese Food,43.71946280250894,-79.48075509183974,Chinese Restaurant
Milliken (130),43.8206907942,-79.2750089244,4b5cd349f964a520ea4529e3,Alton Restaurant 益街坊,43.82558151136016,-79.27603832875346,Chinese Restaurant
Milliken (130),43.8206907942,-79.2750089244,4c55fad889f9c9b60ff9c195,China Cottage,43.835214767771056,-79.25460316824893,Hakka Restaurant
