Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Id,Venue,Venue Latitude,Venue Longitude,Venue Category Name
Wychwood (94),43.6769192679,-79.425514947,52418b0b7e48222eea81d2d2,Pukka Restaurant,43.68105502412986,-79.4291869567722,Indian Restaurant
Wychwood (94),43.6769192679,-79.425514947,4aeb7abbf964a52080c221e3,Ferro Bar Cafe,43.68107983140924,-79.4285699237273,Italian Restaurant
Wychwood (94),43.6769192679,-79.425514947,4bf1c91578cec92810d2ba86,Mi Tierra,43.680618144484,-79.4311747955151,South American Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b5b534cf964a520b4f428e3,Churrasco of St. Clair,43.68168056638893,-79.42545291671884,Portuguese Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b003cf6f964a520d73b22e3,Vinny’s Panini,43.67067884412717,-79.42614819830024,Italian Restaurant
Wychwood (94),43.6769192679,-79.425514947,513b869de4b02424662a1f42,Asada Mexican Grill,43.68063435437249,-79.43071960521455,Mexican Restaurant
Wychwood (94),43.6769192679,-79.425514947,4ae09642f964a520a68021e3,Savera Indian Cuisine,43.68057841847422,-79.4308324116619,Indian Restaurant
Wychwood (94),43.6769192679,-79.425514947,4ce588455fce5481cd1e5caa,Cho Cho Cho,43.680139022918006,-79.43289460634793,Chinese Restaurant
Wychwood (94),43.6769192679,-79.425514947,4adb4d20f964a520b12521e3,Universal Grill,43.670549820711926,-79.42654054306477,Diner
Wychwood (94),43.6769192679,-79.425514947,4ae45ae0f964a5201d9a21e3,Pain Perdu,43.68140733172792,-79.42733237382963,American Restaurant
Wychwood (94),43.6769192679,-79.425514947,51e4b251498e1df3a736a016,Aviv,43.6807858,-79.4291666,Jewish Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b07488ff964a52044fb22e3,Khmer Thai,43.679284765364436,-79.43758544603446,Thai Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b0c689af964a520a63c23e3,The Rushton,43.68138642185842,-79.42780059787597,Restaurant
Wychwood (94),43.6769192679,-79.425514947,5047c42ee4b0451520815721,Moong Sushi,43.68254492330092,-79.42194999656803,Sushi Restaurant
Wychwood (94),43.6769192679,-79.425514947,581cc52b8d169071e52cde38,NODO,43.681156,-79.429857,Italian Restaurant
Wychwood (94),43.6769192679,-79.425514947,4bcba24ecc8cd13a47dabfcf,Taste of Thai House,43.68273510337587,-79.41966075174597,Thai Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b2ad6e0f964a5209cb024e3,Vannis Bar & Grill,43.68182171159587,-79.4253678427442,Italian Restaurant
Wychwood (94),43.6769192679,-79.425514947,4c4baeec6e209521135714ec,Albert's Real Jamaican Foods,43.683060971578726,-79.4206932229474,Caribbean Restaurant
Wychwood (94),43.6769192679,-79.425514947,4fd28998e4b03f13ec1d37f9,The Piper's Pub,43.68103119111243,-79.42934478370216,Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b4923ebf964a520886726e3,Eastern Twist,43.68309249701343,-79.41850065759179,Indian Restaurant
Wychwood (94),43.6769192679,-79.425514947,4dbb4f656a23e294ba11fb3e,Tenoch Restaurant Grill And Bar,43.679645367257024,-79.43522143285193,Mexican Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b5b9cd0f964a520f10a29e3,Mezzetta,43.681652028150964,-79.425435746772,Mediterranean Restaurant
Wychwood (94),43.6769192679,-79.425514947,4af87f52f964a520d30d22e3,El Rincon Mexicano,43.68193784455996,-79.42452611263825,Mexican Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b80810ff964a520367830e3,Nama Sushi,43.681255,-79.42816,Sushi Restaurant
Wychwood (94),43.6769192679,-79.425514947,57acf896498e5988a81250aa,Lasa by Lamesa,43.68219624717089,-79.42325592041016,Filipino Restaurant
Wychwood (94),43.6769192679,-79.425514947,5a1a2d27ad17892423c678bb,Kay Pacha,43.68141,-79.427892,Peruvian Restaurant
Wychwood (94),43.6769192679,-79.425514947,526ee66b498ebb6651681650,Gourmet Gringos,43.680511474609375,-79.4173355102539,Latin American Restaurant
Wychwood (94),43.6769192679,-79.425514947,59b87353805e3f17ec1b0d42,Annabelle Pasta Bar,43.675445,-79.423341,Italian Restaurant
Wychwood (94),43.6769192679,-79.425514947,55a88c85498ee308ca350daa,Kibo Sushi House,43.68154388683983,-79.4264025746291,Sushi Restaurant
Wychwood (94),43.6769192679,-79.425514947,51f45806498e98bc583aaca6,Pizza e Pazzi Wychwood,43.68180770210691,-79.42553973370774,Italian Restaurant
Wychwood (94),43.6769192679,-79.425514947,4c0bb1546071a593e090e132,Dimitra's Bistro,43.680981,-79.429291,Greek Restaurant
Wychwood (94),43.6769192679,-79.425514947,54986254498eea3f58be2fa7,Chinese Dumplings,43.68196820769354,-79.42420973379112,Dumpling Restaurant
Wychwood (94),43.6769192679,-79.425514947,4bb651a32f70c9b6283b8530,La Cocina de Doña Luz,43.680748,-79.430664,Latin American Restaurant
Wychwood (94),43.6769192679,-79.425514947,4c4a11f8f7cc1b8de608e33d,Kome Sushi & Sake House,43.680702,-79.430851,Sushi Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b50ff62f964a520b43c27e3,Dragon Delight,43.68076539930795,-79.43107936159058,Chinese Restaurant
Wychwood (94),43.6769192679,-79.425514947,4e407451ae60920b016f1818,Harvey's,43.68291381433591,-79.41851662826758,Restaurant
Wychwood (94),43.6769192679,-79.425514947,5d30009d6ae0fb0008334fb8,A&W Canada,43.67146,-79.421643,American Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b4ace20f964a5207b8e26e3,Salto Resteraunt,43.673786,-79.433276,Restaurant
Wychwood (94),43.6769192679,-79.425514947,4d2d046a853ff04de86ec5da,Gobo sushi,43.670783469721805,-79.42128720533807,Japanese Restaurant
Wychwood (94),43.6769192679,-79.425514947,5a31791fad910e0e06bdc4a9,Chamsine,43.682865,-79.420153,Middle Eastern Restaurant
Wychwood (94),43.6769192679,-79.425514947,5467d79d498e0aca1c48bdab,Pho Lang Van,43.67950138361426,-79.43606364282823,Vietnamese Restaurant
Wychwood (94),43.6769192679,-79.425514947,55b03b0e498ee9841f421370,Barista & Chef,43.679235,-79.437394,Restaurant
Wychwood (94),43.6769192679,-79.425514947,4b4b6551f964a520009a26e3,Latin Fiesta Restaurant,43.679305049605816,-79.43738723383262,Latin American Restaurant
